pais,quantidade,valor,ano,categoria
Austrália,0,0,1991,Espumantes
Austrália,0,0,1992,Espumantes
Austrália,0,0,1993,Espumantes
Austrália,0,0,1994,Espumantes
Austrália,0,0,1995,Espumantes
Austrália,0,0,1996,Espumantes
Austrália,0,0,1997,Espumantes
Austrália,0,0,1998,Espumantes
Austrália,0,0,1999,Espumantes
Austrália,0,0,2000,Espumantes
Austrália,0,0,2001,Espumantes
Austrália,1136,7702,2002,Espumantes
Austrália,0,0,2003,Espumantes
Austrália,1310,6507,2004,Espumantes
Austrália,1125,7594,2005,Espumantes
Austrália,675,3248,2006,Espumantes
Austrália,855,7491,2007,Espumantes
Austrália,495,3343,2008,Espumantes
Austrália,225,2108,2009,Espumantes
Austrália,0,0,2010,Espumantes
Austrália,45,174,2011,Espumantes
Austrália,0,0,2012,Espumantes
Austrália,30,419,2013,Espumantes
Austrália,0,0,2014,Espumantes
Austrália,4967,15439,2015,Espumantes
Austrália,19182,32115,2016,Espumantes
Austrália,19198,51731,2017,Espumantes
Austrália,57917,212199,2018,Espumantes
Austrália,16701,27592,2019,Espumantes
Austrália,7426,15190,2020,Espumantes
Austrália,8062,26208,2021,Espumantes
Austrália,0,0,2022,Espumantes
Austrália,3150,10474,2023,Espumantes
Austrália,15891,26618,2024,Espumantes
Bahamas,0,0,1970,Espumantes
Bahamas,0,0,1971,Espumantes
Bahamas,0,0,1972,Espumantes
Bahamas,0,0,1973,Espumantes
Bahamas,0,0,1974,Espumantes
Bahamas,0,0,1975,Espumantes
Bahamas,0,0,1976,Espumantes
Bahamas,0,0,1977,Espumantes
Bahamas,0,0,1978,Espumantes
Bahamas,0,0,1979,Espumantes
Bahamas,0,0,1980,Espumantes
Bahamas,0,0,1981,Espumantes
Bahamas,0,0,1982,Espumantes
Bahamas,0,0,1983,Espumantes
Bahamas,0,0,1984,Espumantes
Bahamas,0,0,1985,Espumantes
Bahamas,0,0,1986,Espumantes
Bahamas,0,0,1987,Espumantes
Bahamas,0,0,1988,Espumantes
Bahamas,0,0,1989,Espumantes
Bahamas,0,0,1990,Espumantes
Bahamas,0,0,1991,Espumantes
Bahamas,0,0,1992,Espumantes
Bahamas,0,0,1993,Espumantes
Bahamas,0,0,1994,Espumantes
Bahamas,0,0,1995,Espumantes
Bahamas,0,0,1996,Espumantes
Bahamas,0,0,1997,Espumantes
Bahamas,0,0,1998,Espumantes
Bahamas,0,0,1999,Espumantes
Bahamas,0,0,2000,Espumantes
Bahamas,0,0,2001,Espumantes
Bahamas,0,0,2002,Espumantes
Bahamas,0,0,2003,Espumantes
Bahamas,0,0,2004,Espumantes
Bahamas,0,0,2005,Espumantes
Bahamas,0,0,2006,Espumantes
Bahamas,0,0,2007,Espumantes
Bahamas,0,0,2008,Espumantes
Bahamas,0,0,2009,Espumantes
Bahamas,0,0,2010,Espumantes
Bahamas,0,0,2011,Espumantes
Bahamas,0,0,2012,Espumantes
Bahamas,0,0,2013,Espumantes
Bahamas,0,0,2014,Espumantes
Bahamas,73,684,2015,Espumantes
Bahamas,60,688,2016,Espumantes
Bahamas,519,11136,2017,Espumantes
Bahamas,169,2283,2018,Espumantes
Bahamas,0,0,2019,Espumantes
Bahamas,0,0,2020,Espumantes
Bahamas,0,0,2021,Espumantes
Bahamas,0,0,2022,Espumantes
Bahamas,0,0,2023,Espumantes
Bahamas,0,0,2024,Espumantes
Bermudas,0,0,1970,Espumantes
Bermudas,0,0,1971,Espumantes
Bermudas,0,0,1972,Espumantes
Bermudas,0,0,1973,Espumantes
Bermudas,0,0,1974,Espumantes
Bermudas,0,0,1975,Espumantes
Bermudas,0,0,1976,Espumantes
Bermudas,0,0,1977,Espumantes
Bermudas,0,0,1978,Espumantes
Bermudas,0,0,1979,Espumantes
Bermudas,0,0,1980,Espumantes
Bermudas,0,0,1981,Espumantes
Bermudas,0,0,1982,Espumantes
Bermudas,0,0,1983,Espumantes
Bermudas,0,0,1984,Espumantes
Bermudas,0,0,1985,Espumantes
Bermudas,0,0,1986,Espumantes
Bermudas,0,0,1987,Espumantes
Bermudas,0,0,1988,Espumantes
Bermudas,0,0,1989,Espumantes
Bermudas,0,0,1990,Espumantes
Bermudas,0,0,1991,Espumantes
Bermudas,0,0,1992,Espumantes
Bermudas,0,0,1993,Espumantes
Bermudas,0,0,1994,Espumantes
Bermudas,0,0,1995,Espumantes
Bermudas,0,0,1996,Espumantes
Bermudas,0,0,1997,Espumantes
Bermudas,0,0,1998,Espumantes
Bermudas,0,0,1999,Espumantes
Bermudas,0,0,2000,Espumantes
Bermudas,0,0,2001,Espumantes
Bermudas,0,0,2002,Espumantes
Bermudas,0,0,2003,Espumantes
Bermudas,0,0,2004,Espumantes
Bermudas,0,0,2005,Espumantes
Bermudas,0,0,2006,Espumantes
Bermudas,0,0,2007,Espumantes
Bermudas,0,0,2008,Espumantes
Bermudas,0,0,2009,Espumantes
Bermudas,0,0,2010,Espumantes
Bermudas,0,0,2011,Espumantes
Bermudas,0,0,2012,Espumantes
Bermudas,0,0,2013,Espumantes
Bermudas,0,0,2014,Espumantes
Bermudas,0,0,2015,Espumantes
Bermudas,0,0,2016,Espumantes
Bermudas,0,0,2017,Espumantes
Bermudas,0,0,2018,Espumantes
Bermudas,0,0,2019,Espumantes
Bermudas,0,0,2020,Espumantes
Bermudas,70,611,2021,Espumantes
Bermudas,5,67,2022,Espumantes
Bermudas,3,54,2023,Espumantes
Bermudas,0,13,2024,Espumantes
Brasil,0,0,1970,Espumantes
Brasil,0,0,1971,Espumantes
Brasil,0,0,1972,Espumantes
Brasil,0,0,1973,Espumantes
Brasil,0,0,1974,Espumantes
Brasil,0,0,1975,Espumantes
Brasil,0,0,1976,Espumantes
Brasil,0,0,1977,Espumantes
Brasil,0,0,1978,Espumantes
Brasil,0,0,1979,Espumantes
Brasil,0,0,1980,Espumantes
Brasil,0,0,1981,Espumantes
Brasil,0,0,1982,Espumantes
Brasil,0,0,1983,Espumantes
Brasil,0,0,1984,Espumantes
Brasil,0,0,1985,Espumantes
Brasil,0,0,1986,Espumantes
