categoria,item,quantidade,ano
DERIVADOS,Destilado alcoólico simples de bagaceira,0,2023
DERIVADOS,Destilado alcoólico simples de bagaceira,0,2024
DERIVADOS,Espumante,0,1970
DERIVADOS,Espumante,0,1971
DERIVADOS,Espumante,0,1972
DERIVADOS,Espumante,0,1973
DERIVADOS,Espumante,0,1974
DERIVADOS,Espumante,0,1975
DERIVADOS,Espumante,0,1976
DERIVADOS,Espumante,0,1977
DERIVADOS,Espumante,0,1978
DERIVADOS,Espumante,0,1979
DERIVADOS,Espumante,0,1980
DERIVADOS,Espumante,0,1981
DERIVADOS,Espumante,0,1982
DERIVADOS,Espumante,0,1983
DERIVADOS,Espumante,0,1984
DERIVADOS,Espumante,0,1985
DERIVADOS,Espumante,0,1986
DERIVADOS,Espumante,0,1987
DERIVADOS,Espumante,76000,1988
DERIVADOS,Espumante,0,1989
DERIVADOS,Espumante,0,1990
DERIVADOS,Espumante,0,1991
DERIVADOS,Espumante,11000,1992
DERIVADOS,Espumante,0,1993
DERIVADOS,Espumante,0,1994
DERIVADOS,Espumante,0,1995
DERIVADOS,Espumante,0,1996
DERIVADOS,Espumante,0,1997
DERIVADOS,Espumante,0,1998
DERIVADOS,Espumante,6900,1999
DERIVADOS,Espumante,71410,2000
DERIVADOS,Espumante,0,2001
DERIVADOS,Espumante,0,2002
DERIVADOS,Espumante,0,2003
DERIVADOS,Espumante,3999,2004
DERIVADOS,Espumante,1920,2005
DERIVADOS,Espumante,26600,2006
DERIVADOS,Espumante,0,2007
DERIVADOS,Espumante,88690,2008
DERIVADOS,Espumante,0,2009
DERIVADOS,Espumante,10125,2010
DERIVADOS,Espumante,26361,2011
DERIVADOS,Espumante,17200,2012
DERIVADOS,Espumante,30275,2013
DERIVADOS,Espumante,2700,2014
DERIVADOS,Espumante,23750,2015
DERIVADOS,Espumante,1500,2016
DERIVADOS,Espumante,11280,2017
DERIVADOS,Espumante,68500,2018
DERIVADOS,Espumante,52176,2019
DERIVADOS,Espumante,32399,2020
DERIVADOS,Espumante,70091,2021
DERIVADOS,Espumante,70759,2022
DERIVADOS,Espumante,65525,2023
DERIVADOS,Espumante,0,2024
DERIVADOS,Espumante moscatel,0,1970
DERIVADOS,Espumante moscatel,0,1971
DERIVADOS,Espumante moscatel,0,1972
DERIVADOS,Espumante moscatel,0,1973
DERIVADOS,Espumante moscatel,0,1974
DERIVADOS,Espumante moscatel,0,1975
DERIVADOS,Espumante moscatel,0,1976
DERIVADOS,Espumante moscatel,0,1977
DERIVADOS,Espumante moscatel,0,1978
DERIVADOS,Espumante moscatel,0,1979
DERIVADOS,Espumante moscatel,0,1980
DERIVADOS,Espumante moscatel,0,1981
DERIVADOS,Espumante moscatel,0,1982
DERIVADOS,Espumante moscatel,0,1983
DERIVADOS,Espumante moscatel,0,1984
DERIVADOS,Espumante moscatel,0,1985
DERIVADOS,Espumante moscatel,0,1986
DERIVADOS,Espumante moscatel,0,1987
DERIVADOS,Espumante moscatel,0,1988
DERIVADOS,Espumante moscatel,0,1989
DERIVADOS,Espumante moscatel,0,1990
DERIVADOS,Espumante moscatel,0,1991
DERIVADOS,Espumante moscatel,0,1992
DERIVADOS,Espumante moscatel,0,1993
DERIVADOS,Espumante moscatel,0,1994
DERIVADOS,Espumante moscatel,0,1995
DERIVADOS,Espumante moscatel,0,1996
DERIVADOS,Espumante moscatel,0,1997
DERIVADOS,Espumante moscatel,0,1998
DERIVADOS,Espumante moscatel,0,1999
DERIVADOS,Espumante moscatel,0,2000
DERIVADOS,Espumante moscatel,276099,2001
DERIVADOS,Espumante moscatel,0,2002
DERIVADOS,Espumante moscatel,147600,2003
DERIVADOS,Espumante moscatel,204000,2004
DERIVADOS,Espumante moscatel,514480,2005
DERIVADOS,Espumante moscatel,320514,2006
DERIVADOS,Espumante moscatel,589332,2007
DERIVADOS,Espumante moscatel,1113462,2008
DERIVADOS,Espumante moscatel,1190500,2009
DERIVADOS,Espumante moscatel,703393,2010
DERIVADOS,Espumante moscatel,219100,2011
DERIVADOS,Espumante moscatel,139775,2012
DERIVADOS,Espumante moscatel,159781,2013
DERIVADOS,Espumante moscatel,100000,2014
DERIVADOS,Espumante moscatel,110100,2015
DERIVADOS,Espumante moscatel,100000,2016
DERIVADOS,Espumante moscatel,152375,2017
DERIVADOS,Espumante moscatel,326200,2018
DERIVADOS,Espumante moscatel,515800,2019
DERIVADOS,Espumante moscatel,689139,2020
DERIVADOS,Espumante moscatel,11950,2021
DERIVADOS,Espumante moscatel,27200,2022
DERIVADOS,Espumante moscatel,14744,2023
DERIVADOS,Espumante moscatel,0,2024
DERIVADOS,Espumante orgânico,0,1970
DERIVADOS,Espumante orgânico,0,1971
DERIVADOS,Espumante orgânico,0,1972
DERIVADOS,Espumante orgânico,0,1973
DERIVADOS,Espumante orgânico,0,1974
DERIVADOS,Espumante orgânico,0,1975
DERIVADOS,Espumante orgânico,0,1976
DERIVADOS,Espumante orgânico,0,1977
DERIVADOS,Espumante orgânico,0,1978
DERIVADOS,Espumante orgânico,0,1979
DERIVADOS,Espumante orgânico,0,1980
DERIVADOS,Espumante orgânico,0,1981
DERIVADOS,Espumante orgânico,0,1982
DERIVADOS,Espumante orgânico,0,1983
DERIVADOS,Espumante orgânico,0,1984
DERIVADOS,Espumante orgânico,0,1985
DERIVADOS,Espumante orgânico,0,1986
DERIVADOS,Espumante orgânico,0,1987
